Localidade;Variável;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Abadia de Goiás;Financiamentos à Pecuária - Custeio - Valor (R$);330.195,67;726.987,76;566.675,99;625.422,82;682.545,53;887.641,14;1.304.629;2.409.683;3.396.983;0;3.101.003
Abadiânia;Financiamentos à Pecuária - Custeio - Valor (R$);8.037.554,05;10.224.774,03;8.207.670,93;5.867.364,20;12.149.754,18;4.823.481,46;7.001.505;13.228.345;14.931.771;1.247.010;10.357.766
Acreúna;Financiamentos à Pecuária - Custeio - Valor (R$);14.383.002,58;13.631.427,66;7.261.516,43;6.932.883,38;8.259.436,29;7.065.726,58;6.453.869;6.836.953;14.942.521;4.326.823;8.627.573
Adelândia;Financiamentos à Pecuária - Custeio - Valor (R$);2.602.870,67;2.437.096,08;1.676.603,53;1.438.599,15;2.389.589,90;2.218.052,03;3.459.716;4.529.872;10.477.717;1.956.258;9.923.722
Água Fria de Goiás;Financiamentos à Pecuária - Custeio - Valor (R$);2.488.538,70;3.674.710,53;1.416.654,80;874.106,93;9.283.948,96;4.196.060,34;5.588.390;1.512.845;5.446.464;2.065.800;9.611.876
Água Limpa;Financiamentos à Pecuária - Custeio - Valor (R$);6.230.670,51;6.545.564,97;6.902.699,44;6.512.622,13;6.918.863,78;9.057.960,49;10.561.636;12.179.950;11.971.855;7.063.437;25.725.169
Águas Lindas de Goiás;Financiamentos à Pecuária - Custeio - Valor (R$);19.526,40;19.526,40;186.639,31;639.760,35;17.315,13;240.000,00;-;-;-;-;496.440
Alexânia;Financiamentos à Pecuária - Custeio - Valor (R$);3.911.909,02;3.802.564,57;4.398.177,42;5.505.638,98;5.542.004,81;3.422.205,42;4.892.776;11.095.078;18.885.971;1.554.520;10.043.363
Aloândia;Financiamentos à Pecuária - Custeio - Valor (R$);1.654.575,26;1.544.892,14;2.291.292,82;1.743.459,16;3.403.865,33;2.423.760,94;2.283.361;7.554.189;5.328.966;4.585.950;5.615.039
Alto Horizonte;Financiamentos à Pecuária - Custeio - Valor (R$);5.701.834,54;4.462.831,07;6.526.401,07;4.785.263,38;6.292.594,86;6.222.370,20;6.960.098;4.740.519;9.301.153;2.735.416;14.007.676
Alto Paraíso de Goiás;Financiamentos à Pecuária - Custeio - Valor (R$);4.955.360,80;1.567.599,52;3.108.927,07;3.150.460,23;4.828.289,14;3.029.624,69;1.617.169;1.078.852;2.208.344;797.000;1.508.568
Alvorada do Norte;Financiamentos à Pecuária - Custeio - Valor (R$);2.543.073,33;1.374.137,63;4.081.043,04;3.192.671,76;5.140.749,59;5.506.015,57;6.791.533;10.334.351;12.073.425;1.902.307;20.773.469
Amaralina;Financiamentos à Pecuária - Custeio - Valor (R$);6.413.959,98;7.980.277,14;10.914.654,11;7.244.227,45;16.925.056,07;10.676.003,63;15.936.350;21.936.593;46.353.870;11.230.178;68.121.200
Americano do Brasil;Financiamentos à Pecuária - Custeio - Valor (R$);1.359.364,62;1.420.529,70;1.376.607,86;1.320.392,39;1.706.536,71;1.618.583,02;5.359.034;3.021.210;8.462.656;104.000;15.153.760
Amorinópolis;Financiamentos à Pecuária - Custeio - Valor (R$);4.871.583,18;3.173.215,06;3.560.320,95;8.248.271,81;7.345.070,26;9.870.930,17;8.406.617;11.568.284;14.595.159;8.665.760;23.898.658
Anápolis;Financiamentos à Pecuária - Custeio - Valor (R$);15.873.995,34;14.978.232,07;9.002.389,72;8.529.228,85;9.457.391,65;6.351.028,63;8.061.063;16.120.608;17.858.228;1.220.000;14.484.022
Anhanguera;Financiamentos à Pecuária - Custeio - Valor (R$);861.562,05;927.422,20;1.230.854,38;1.027.649,33;1.183.219,90;2.118.776,40;1.827.531;1.217.253;2.163.896;60.000;2.279.255
Anicuns;Financiamentos à Pecuária - Custeio - Valor (R$);25.359.530,38;27.988.670,69;25.888.771,38;15.027.237,60;19.299.786,80;21.921.871,40;26.774.062;39.492.428;48.277.800;14.243.795;52.678.108
Aparecida de Goiânia;Financiamentos à Pecuária - Custeio - Valor (R$);240.605,89;38.385,96;190.011,22;50.417,33;79.292,06;141.327,62;106.222;135.144;59.109;0;191.741
Aparecida do Rio Doce;Financiamentos à Pecuária - Custeio - Valor (R$);13.981.023,59;22.533.811,91;26.710.527,12;10.603.394,98;16.059.740,03;21.276.151,79;25.048.598;38.619.161;24.779.033;13.677.960;53.776.283
Aporé;Financiamentos à Pecuária - Custeio - Valor (R$);20.519.383,05;23.657.759,95;30.174.161,11;31.559.303,83;29.834.173,38;38.926.731,41;40.789.740;30.066.204;38.108.849;16.104.272;36.182.746
Araçu;Financiamentos à Pecuária - Custeio - Valor (R$);2.563.416,70;1.903.963,64;2.022.191,94;3.929.391,28;3.627.825,59;1.358.417,46;4.218.518;2.994.679;3.049.519;967.355;6.502.007
Aragarças;Financiamentos à Pecuária - Custeio - Valor (R$);2.840.097,65;1.976.558,40;1.684.816,48;3.681.854,65;7.550.775,22;6.401.524,93;4.772.181;5.125.079;6.085.305;1.510.000;5.049.382
Aragoiânia;Financiamentos à Pecuária - Custeio - Valor (R$);1.459.819,81;2.754.798,92;3.346.100,35;3.055.327,54;2.599.327,86;1.838.456,10;1.775.432;4.013.787;4.553.716;885.563;7.471.430
Araguapaz;Financiamentos à Pecuária - Custeio - Valor (R$);15.866.376,00;17.256.252,27;15.991.055,78;22.648.923,14;23.062.984,04;35.293.787,37;43.731.692;78.059.815;83.433.171;26.567.759;121.649.541
Arenópolis;Financiamentos à Pecuária - Custeio - Valor (R$);11.522.553,79;10.991.847,91;13.338.757,93;19.349.967,59;22.787.787,22;29.330.216,25;34.997.372;56.401.136;68.479.073;21.947.048;71.379.580
Aruanã;Financiamentos à Pecuária - Custeio - Valor (R$);26.852.726,86;24.807.332,85;27.782.726,23;62.416.832,09;3.219.087,04;28.266.920,69;46.669.937;66.154.736;129.173.326;44.494.615;58.952.956
Aurilândia;Financiamentos à Pecuária - Custeio - Valor (R$);7.294.864,49;8.422.864,11;8.935.646,90;11.990.129,35;14.953.539,92;13.665.319,02;13.486.520;26.477.567;25.286.421;5.718.640;34.453.589
Avelinópolis;Financiamentos à Pecuária - Custeio - Valor (R$);3.012.972,38;3.114.619,70;2.969.722,94;2.371.929,36;2.157.632,11;1.096.615,77;1.512.406;7.064.265;10.463.511;3.483.221;7.398.433
Baliza;Financiamentos à Pecuária - Custeio - Valor (R$);6.840.960,55;6.475.174,73;7.475.597,52;6.121.315,51;7.661.045,14;10.227.542,82;13.317.250;13.860.839;18.845.977;6.852.731;29.887.164
Barro Alto;Financiamentos à Pecuária - Custeio - Valor (R$);4.291.411,48;6.767.056,59;2.423.006,76;4.697.626,68;4.159.183,81;8.215.159,07;6.458.769;8.546.532;10.351.797;3.682.681;16.607.400
Bela Vista de Goiás;Financiamentos à Pecuária - Custeio - Valor (R$);27.324.116,77;36.208.535,77;34.959.384,99;42.793.695,77;37.062.859,51;37.772.337,74;32.498.526;44.574.572;58.762.998;4.232.900;68.712.937
Bom Jardim de Goiás;Financiamentos à Pecuária - Custeio - Valor (R$);15.832.457,11;21.194.457,99;21.512.403,08;21.798.128,99;33.158.959,91;38.403.016,98;42.865.822;38.026.771;57.831.693;11.391.019;52.491.550
Bom Jesus de Goiás;Financiamentos à Pecuária - Custeio - Valor (R$);5.269.414,35;4.691.795,56;11.331.679,79;20.687.120,66;19.110.756,52;9.400.874,35;7.953.575;11.988.706;13.586.550;3.050.400;8.452.951
Bonfinópolis;Financiamentos à Pecuária - Custeio - Valor (R$);759.709,59;544.067,68;57.791,58;230.152,20;20.870,52;564.289,09;172.670;4.178.091;1.708.974;937.510;883.279
Bonópolis;Financiamentos à Pecuária - Custeio - Valor (R$);17.745.606,95;27.791.904,44;27.550.737,22;34.957.609,69;29.854.880,27;58.075.317,72;33.098.419;52.025.847;51.724.267;26.986.953;67.673.916
Brazabrantes;Financiamentos à Pecuária - Custeio - Valor (R$);2.293.822,26;1.850.072,91;1.947.788,68;3.704.044,32;3.015.849,79;4.385.266,41;8.135.175;11.484.043;6.886.470;3.184.000;6.992.212
Britânia;Financiamentos à Pecuária - Custeio - Valor (R$);21.026.897,37;18.142.091,76;19.314.438,71;27.186.680,49;47.863.710,53;26.659.694,34;51.324.980;41.508.540;89.412.698;15.109.484;49.934.483
Buriti Alegre;Financiamentos à Pecuária - Custeio - Valor (R$);10.519.987,03;9.223.849,34;12.543.612,65;12.127.149,12;15.484.940,91;18.143.075,01;26.385.221;35.805.491;23.475.455;14.848.001;29.584.404
Buriti de Goiás;Financiamentos à Pecuária - Custeio - Valor (R$);4.878.881,61;6.635.496,32;8.759.328,15;6.327.059,93;4.936.375,65;9.141.356,41;10.413.697;13.634.991;14.459.843;1.670.000;15.393.058
Buritinópolis;Financiamentos à Pecuária - Custeio - Valor (R$);1.979.450,05;1.113.331,39;1.425.026,22;1.189.078,80;2.865.446,37;1.547.955,72;569.300;3.031.044;3.420.916;1.027.600;3.785.951
Cabeceiras;Financiamentos à Pecuária - Custeio - Valor (R$);2.891.570,15;2.814.185,63;2.105.357,50;1.211.363,38;2.454.990,01;2.256.118,29;2.948.064;3.232.788;2.341.725;92.400;4.222.672
Cachoeira Alta;Financiamentos à Pecuária - Custeio - Valor (R$);28.837.804,92;30.046.801,07;25.868.498,34;33.895.812,32;39.728.581,26;44.166.471,27;61.538.830;73.010.150;78.993.864;28.359.997;156.184.606
Cachoeira de Goiás;Financiamentos à Pecuária - Custeio - Valor (R$);2.867.280,16;3.128.150,67;3.111.209,35;4.903.960,05;3.190.992,14;3.775.141,87;3.023.500;2.678.649;7.651.272;964.616;6.400.522
Cachoeira Dourada;Financiamentos à Pecuária - Custeio - Valor (R$);3.169.615,19;2.737.788,88;3.745.786,85;5.035.761,04;4.225.428,61;6.233.197,61;2.735.833;8.741.970;7.495.008;1.591.685;428.863
Caçu;Financiamentos à Pecuária - Custeio - Valor (R$);26.806.805,33;32.685.653,71;37.385.641,08;49.697.165,60;37.097.105,01;45.327.300,69;59.783.944;66.806.594;79.672.365;25.283.787;68.127.266
Caiapônia;Financiamentos à Pecuária - Custeio - Valor (R$);45.084.200,79;62.583.090,23;63.850.514,48;56.716.041,28;70.250.039,81;68.453.543,64;78.828.145;121.839.703;132.404.257;42.654.366;125.399.254
Caldas Novas;Financiamentos à Pecuária - Custeio - Valor (R$);7.828.370,17;9.189.188,87;9.852.834,91;8.215.297,94;9.023.095,10;7.400.218,95;10.023.345;9.032.905;15.556.060;3.519.792;25.482.605
Caldazinha;Financiamentos à Pecuária - Custeio - Valor (R$);3.069.616,83;2.993.603,08;3.837.883,80;4.855.462,78;7.375.600,08;5.812.416,82;7.116.014;10.628.284;11.382.360;1.200.000;11.874.146
Campestre de Goiás;Financiamentos à Pecuária - Custeio - Valor (R$);1.883.617,72;1.813.835,34;2.571.524,71;2.614.159,31;3.153.699,97;2.534.056,93;5.636.785;7.793.499;5.597.147;2.126.065;8.556.124
Campinaçu;Financiamentos à Pecuária - Custeio - Valor (R$);8.169.563,24;9.007.401,98;9.406.749,75;10.302.038,68;12.255.549,26;17.588.720,87;30.892.175;42.458.879;37.591.702;13.441.962;58.435.815
Campinorte;Financiamentos à Pecuária - Custeio - Valor (R$);5.067.783,64;5.766.090,39;7.688.154,46;5.028.054,28;8.235.097,34;12.086.632,91;18.153.583;27.892.740;27.798.302;8.777.466;28.626.081
Campo Alegre de Goiás;Financiamentos à Pecuária - Custeio - Valor (R$);7.290.658,35;8.613.109,02;8.470.616,43;10.874.239,79;10.131.696,38;11.380.540,56;9.599.413;12.749.539;16.551.462;1.310.059;13.503.186
Campo Limpo de Goiás;Financiamentos à Pecuária - Custeio - Valor (R$);4.872.795,52;5.000.955,72;2.507.061,09;1.984.310,21;4.426.260,73;3.628.295,98;2.395.766;5.411.507;7.986.941;1.696.153;4.267.093
Campos Belos;Financiamentos à Pecuária - Custeio - Valor (R$);6.468.757,45;6.676.019,17;6.868.763,34;7.912.681,79;8.999.653,44;4.787.574,66;10.293.400;12.641.193;20.509.736;5.293.824;14.663.738
Campos Verdes;Financiamentos à Pecuária - Custeio - Valor (R$);3.128.522,11;3.833.797,56;3.837.446,99;5.719.516,68;3.774.591,24;8.041.200,84;5.729.168;16.591.904;18.258.384;5.007.200;28.961.122
Carmo do Rio Verde;Financiamentos à Pecuária - Custeio - Valor (R$);5.783.259,59;6.852.508,39;7.171.795,43;7.749.007,17;7.296.864,16;6.120.363,58;5.976.722;10.968.198;19.090.815;3.520.165;22.345.733
Castelândia;Financiamentos à Pecuária - Custeio - Valor (R$);1.639.071,91;1.779.878,27;2.491.201,23;2.413.070,52;1.779.212,64;4.624.140,99;10.708.544;16.811.108;5.547.447;6.296.530;3.120.613
Catalão;Financiamentos à Pecuária - Custeio - Valor (R$);15.537.207,59;12.659.438,62;14.925.758,23;14.954.309,41;19.433.340,68;22.500.083,23;25.225.984;41.908.036;43.013.425;5.677.200;71.643.543
Caturaí;Financiamentos à Pecuária - Custeio - Valor (R$);1.620.070,15;1.573.769,68;1.119.858,92;1.583.774,23;3.101.496,96;4.030.644,79;7.089.177;5.407.922;8.486.622;5.145.472;8.474.354
Cavalcante;Financiamentos à Pecuária - Custeio - Valor (R$);1.424.006,16;2.193.605,85;2.817.910,88;3.431.763,05;5.904.120,78;4.812.080,05;5.237.576;5.755.656;7.322.821;5.556.232;17.705.978
Ceres;Financiamentos à Pecuária - Custeio - Valor (R$);2.980.130,44;3.267.076,93;3.026.477,06;2.224.171,49;2.514.995,54;3.084.422,63;2.764.773;4.949.829;6.925.586;780.800;7.398.260
Cezarina;Financiamentos à Pecuária - Custeio - Valor (R$);11.170.578,47;8.327.290,71;6.414.874,24;5.071.557,92;7.159.041,41;5.266.393,42;6.299.081;8.297.020;7.580.507;3.124.000;5.050.468
Chapadão do Céu;Financiamentos à Pecuária - Custeio - Valor (R$);3.356.749,39;2.596.145,52;1.471.711,17;4.578.066,33;6.410.228,92;10.356.657,75;8.818.114;7.872.039;2.329.989;880.000;610.000
Cidade Ocidental;Financiamentos à Pecuária - Custeio - Valor (R$);2.100.834,97;1.116.669,14;2.231.028,76;1.128.832,22;3.837.662,46;917.555,01;6.503.411;451.925;1.648.476;400.000;2.505.066
Cocalzinho de Goiás;Financiamentos à Pecuária - Custeio - Valor (R$);12.966.499,69;4.920.474,25;6.312.632,48;4.881.350,26;8.626.104,38;9.480.487,44;12.919.685;20.499.644;30.366.537;6.353.085;31.863.781
Colinas do Sul;Financiamentos à Pecuária - Custeio - Valor (R$);4.755.397,62;3.085.180,58;3.223.122,79;2.809.505,13;4.501.132,49;8.833.480,65;6.926.044;15.440.062;25.385.222;9.575.081;15.359.652
Córrego do Ouro;Financiamentos à Pecuária - Custeio - Valor (R$);10.482.289,16;10.013.153,88;11.570.121,00;13.941.728,56;18.596.266,53;14.683.709,31;13.901.182;24.583.861;23.514.840;4.703.150;21.240.967
Corumbá de Goiás;Financiamentos à Pecuária - Custeio - Valor (R$);5.963.844,10;5.190.579,64;6.429.062,87;4.672.318,01;6.412.906,03;6.272.879,62;5.973.479;6.665.636;9.075.163;2.709.000;12.762.845
Corumbaíba;Financiamentos à Pecuária - Custeio - Valor (R$);22.631.457,70;23.813.938,77;22.966.793,11;28.623.604,33;37.487.454,53;39.635.778,92;45.288.018;50.100.687;73.428.585;9.000.700;85.932.507
Cristalina;Financiamentos à Pecuária - Custeio - Valor (R$);12.574.161,17;13.207.941,41;17.233.638,77;15.366.635,88;22.298.065,55;16.416.063,35;13.518.113;15.369.483;23.430.690;2.458.949;28.741.223
Cristianópolis;Financiamentos à Pecuária - Custeio - Valor (R$);1.495.982,74;3.242.514,97;3.491.817,33;3.023.781,03;2.171.448,35;2.815.385,50;1.791.684;1.250.929;3.277.270;540.000;2.859.686
Crixás;Financiamentos à Pecuária - Custeio - Valor (R$);33.267.340,94;39.460.284,32;40.687.609,80;45.912.585,11;56.483.986,97;66.606.515,48;86.055.916;111.424.401;158.659.973;25.424.670;219.077.684
Cromínia;Financiamentos à Pecuária - Custeio - Valor (R$);4.286.704,59;5.203.517,70;5.842.671,03;7.459.752,16;11.060.620,72;10.692.062,62;6.299.394;11.323.880;11.506.779;5.050.000;12.626.808
Cumari;Financiamentos à Pecuária - Custeio - Valor (R$);10.400.962,46;8.592.274,51;12.264.144,86;12.686.556,70;18.971.444,88;23.980.898,81;23.066.661;32.910.387;47.597.022;12.677.626;38.628.849
Damianópolis;Financiamentos à Pecuária - Custeio - Valor (R$);1.489.851,27;818.419,24;866.079,33;653.888,76;1.269.006,89;952.346,33;1.435.675;2.395.704;2.872.645;172.240;3.970.512
Damolândia;Financiamentos à Pecuária - Custeio - Valor (R$);1.742.698,28;1.326.738,28;1.024.949,10;1.276.074,30;1.579.307,13;1.086.475,66;2.136.784;1.057.729;1.631.783;518.294;4.105.612
Davinópolis;Financiamentos à Pecuária - Custeio - Valor (R$);3.029.660,74;2.793.744,58;3.346.373,15;4.784.660,50;6.651.527,96;6.289.814,07;10.160.856;8.491.213;11.892.021;1.118.419;8.773.202
Diorama;Financiamentos à Pecuária - Custeio - Valor (R$);10.834.926,87;10.142.062,17;11.757.027,87;11.676.154,86;17.183.447,83;17.022.976,28;20.291.837;33.775.005;24.341.355;4.809.645;35.149.772
Divinópolis de Goiás;Financiamentos à Pecuária - Custeio - Valor (R$);4.865.081,24;4.783.066,92;6.040.004,65;6.888.925,45;5.590.801,23;5.991.314,17;4.014.500;8.074.888;14.465.698;3.729.475;21.007.351
Doverlândia;Financiamentos à Pecuária - Custeio - Valor (R$);31.740.531,20;40.831.564,26;53.542.211,11;53.801.551,56;61.196.104,65;64.698.024,05;74.717.005;89.817.887;84.915.854;41.360.270;102.126.612
