Localidade;Variável;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Nova Iguaçu de Goiás;Financiamentos à Pecuária - Custeio - Valor (R$);4.969.663,40;6.307.651,84;7.604.570,94;7.680.344,38;9.374.048,85;16.279.123,31;13.058.173;24.403.642;28.878.985;2.277.641;29.121.263
Nova Roma;Financiamentos à Pecuária - Custeio - Valor (R$);11.308.177,62;5.507.797,33;6.116.494,74;9.588.948,69;7.308.965,68;13.656.980,36;12.906.065;17.586.625;32.707.993;16.322.430;40.449.890
Nova Veneza;Financiamentos à Pecuária - Custeio - Valor (R$);2.202.738,63;2.808.344,22;2.821.497,54;4.234.712,12;3.931.041,54;2.696.993,40;1.943.683;1.462.880;2.488.756;1.848.458;3.444.648
Novo Brasil;Financiamentos à Pecuária - Custeio - Valor (R$);13.259.540,39;13.451.628,13;11.916.426,08;13.527.221,92;13.607.222,30;20.395.728,71;21.013.117;33.010.968;35.065.760;6.079.600;43.181.118
Novo Gama;Financiamentos à Pecuária - Custeio - Valor (R$);0;-;68.717,93;0;749.367,30; -   ;0;-;-;0;-
Novo Planalto;Financiamentos à Pecuária - Custeio - Valor (R$);14.155.539,48;17460235,47;21.743.727,73;33.563.524,46;35.280.706,52;16.328.596,07;23.625.471;33.043.373;33.965.626;8.619.962;42.373.602
Orizona;Financiamentos à Pecuária - Custeio - Valor (R$);32.023.765,65;34403194,8;38.992.305,39;36.923.009,80;41.969.117,26;44.476.580,17;55.130.752;74.814.952;100.529.404;12.611.130;123.487.458
Ouro Verde de Goiás;Financiamentos à Pecuária - Custeio - Valor (R$);3.845.952,76;3531702,14;3.667.334,17;2.983.455,83;4.351.900,21;4.310.490,80;5.812.728;5.157.773;6.533.745;2.540.000;10.241.642
Ouvidor;Financiamentos à Pecuária - Custeio - Valor (R$);2.247.391,55;3621687,08;3.576.285,55;4.628.307,09;9.716.043,31;8.312.638,42;17.368.395;14.903.043;24.148.251;8.124.274;22.804.132
Padre Bernardo;Financiamentos à Pecuária - Custeio - Valor (R$);8.935.093,17;15728412,71;8.445.875,02;11.264.437,17;5.786.303,44;15.025.859,15;12.861.408;19.861.706;18.887.278;4.562.200;21.333.730
Palestina de Goiás;Financiamentos à Pecuária - Custeio - Valor (R$);8.546.278,01;9223028,81;9.708.197,20;11.547.105,60;14.414.539,48;18.221.893,80;20.903.584;27.400.234;36.001.020;7.245.417;34.739.627
Palmeiras de Goiás;Financiamentos à Pecuária - Custeio - Valor (R$);26.270.039,05;29083961,86;22.478.774,92;26.642.351,91;31.381.790,96;27.426.032,72;34.233.398;37.205.338;41.031.201;4.101.002;42.043.756
Palmelo;Financiamentos à Pecuária - Custeio - Valor (R$);287.899,90;186252,03;226.505,72;808.228,84;398.120,44;517.689,65;435.903;897.085;2.009.007;700.417;1.795.683
Palminópolis;Financiamentos à Pecuária - Custeio - Valor (R$);9.743.101,92;9086824,88;7.661.164,02;8.480.876,00;9.358.001,66;9.870.778,03;14.674.139;17.916.813;26.250.569;11.471.980;17.713.171
Panamá;Financiamentos à Pecuária - Custeio - Valor (R$);2.628.775,17;3533766,11;3.779.941,26;3.545.959,62;3.119.837,02;4.912.967,72;3.975.647;4.212.374;8.006.419;2.025.807;2.418.633
Paranaiguara;Financiamentos à Pecuária - Custeio - Valor (R$);10.211.581,65;10801445,47;12.789.067,84;17.487.817,80;15.415.418,01;20.470.562,33;21.157.720;17.113.802;12.726.244;9.247.204;21.538.882
Paraúna;Financiamentos à Pecuária - Custeio - Valor (R$);21.133.783,74;28607074,69;32.938.617,88;54.631.188,26;43.699.507,68;36.654.118,45;39.455.404;32.608.684;30.780.233;10.727.000;39.512.807
Perolândia;Financiamentos à Pecuária - Custeio - Valor (R$);1.884.183,26;1123869,91;2.455.594,77;2.979.447,80;2.991.200,00;3.678.984,02;5.144.362;3.069.651;6.649.570;3.020.000;6.380.896
Petrolina de Goiás;Financiamentos à Pecuária - Custeio - Valor (R$);8.379.586,23;11286341,8;12.238.625,20;11.425.505,18;12.628.664,72;14.574.729,21;12.423.618;23.834.845;16.405.998;4.173.189;26.587.661
Pilar de Goiás;Financiamentos à Pecuária - Custeio - Valor (R$);12.551.333,60;11981125,72;14.133.300,00;14.037.688,42;15.457.969,10;15.187.588,31;16.717.443;28.732.084;38.140.543;6.398.408;52.878.314
Piracanjuba;Financiamentos à Pecuária - Custeio - Valor (R$);24.673.525,12;29993845,15;31.729.659,47;37.818.800,30;38.748.256,61;39.718.875,07;36.603.888;40.687.619;42.467.669;16.803.200;48.917.189
Piranhas;Financiamentos à Pecuária - Custeio - Valor (R$);25.365.918,26;26068628,01;28.497.328,25;31.670.558,80;33.235.405,92;35.995.824,44;47.978.581;61.915.777;88.148.115;25.809.361;73.832.404
Pirenópolis;Financiamentos à Pecuária - Custeio - Valor (R$);12.718.457,99;9986217,56;9.143.855,21;13.697.656,68;20.120.519,68;13.317.404,07;13.693.212;27.862.235;31.623.660;6.010.188;45.511.579
Pires do Rio;Financiamentos à Pecuária - Custeio - Valor (R$);11.749.906,61;12624929,6;24.492.897,41;18.056.444,43;12.556.347,52;27.652.640,59;31.426.895;36.063.637;69.476.562;4.095.720;56.946.444
Planaltina;Financiamentos à Pecuária - Custeio - Valor (R$);1.660.262,97;2365112,33;5.234.247,50;2.086.602,39;4.614.735,23;2.468.808,16;2.338.045;1.727.862;4.595.649;989.240;5.635.783
Pontalina;Financiamentos à Pecuária - Custeio - Valor (R$);17.653.390,01;17097374,37;26.317.860,64;30.759.323,80;38.627.364,27;37.423.513,56;39.417.032;63.134.353;75.415.408;17.896.040;84.569.936
Porangatu;Financiamentos à Pecuária - Custeio - Valor (R$);48.400.647,27;45248236,24;60.057.934,48;72.439.494,33;75.184.462,43;90.794.557,71;117.188.247;185.558.485;217.153.396;67.660.542;217.787.610
Porteirão;Financiamentos à Pecuária - Custeio - Valor (R$);12.016.919,06;5609015,52;7.591.439,08;5.579.995,80;4.138.663,39;4.652.517,45;3.274.730;4.230.455;3.974.714;4.640.000;5.503.175
Portelândia;Financiamentos à Pecuária - Custeio - Valor (R$);3.012.450,63;2628614,33;2.258.417,23;3.318.237,70;4.145.575,04;4.900.609,19;4.653.240;5.241.623;8.777.287;6.960.846;10.546.681
Posse;Financiamentos à Pecuária - Custeio - Valor (R$);7.721.671,82;6922081,61;6.776.716,88;7.146.263,36;5.225.889,71;11.707.481,34;12.873.582;17.381.854;29.798.380;9.528.885;23.278.771
Professor Jamil;Financiamentos à Pecuária - Custeio - Valor (R$);2.527.223,15;2938954,46;4.672.765,53;6.806.183,87;9.247.596,72;5.841.234,08;6.079.961;11.957.100;16.953.255;7.581.740;7.318.770
Quirinópolis;Financiamentos à Pecuária - Custeio - Valor (R$);40.050.431,77;47753187,25;40.858.208,24;47.359.004,07;47.718.477,07;44.206.889,06;52.159.120;76.640.577;55.966.602;16.422.670;78.325.100
Rialma;Financiamentos à Pecuária - Custeio - Valor (R$);1.580.619,30;1740894,21;886.951,80;3.300.936,36;3.951.483,76;3.468.571,89;7.683.467;8.539.570;14.597.514;897.480;10.333.960
Rianápolis;Financiamentos à Pecuária - Custeio - Valor (R$);870.317,33;1073132,12;1.868.798,50;2.869.559,37;3.542.408,41;5.129.294,28;2.651.917;11.984.432;4.437.006;1.178.548;8.390.640
Rio Quente;Financiamentos à Pecuária - Custeio - Valor (R$);2.750.633,43;2183212,39;2.549.749,70;2.549.822,99;1.847.145,78;4.184.015,48;2.042.978;3.291.394;5.623.587;2.555.780;6.919.590
Rio Verde;Financiamentos à Pecuária - Custeio - Valor (R$);108.252.438,54;125589830;136.432.301,03;140.120.902,29;133.173.528,04;120.917.642,35;153.242.575;221.096.188;232.466.584;46.508.293;235.236.191
Rubiataba;Financiamentos à Pecuária - Custeio - Valor (R$);12.623.836,47;14359792,94;12.944.330,13;13.661.460,55;16.291.023,34;22.390.013,40;25.336.019;34.710.144;39.648.505;4.725.996;50.870.321
Sanclerlândia;Financiamentos à Pecuária - Custeio - Valor (R$);12.159.577,00;12729837,3;14.573.715,06;12.360.293,33;17.342.594,80;15.495.363,39;17.209.238;30.607.253;40.230.716;6.642.968;46.615.790
Santa Bárbara de Goiás;Financiamentos à Pecuária - Custeio - Valor (R$);2.830.723,39;3257603,77;4.482.511,59;5.198.712,15;5.421.086,68;897.050,98;3.712.175;7.251.689;3.416.284;2.500.000;6.566.296
Santa Cruz de Goiás;Financiamentos à Pecuária - Custeio - Valor (R$);7.942.850,71;6355088,98;8.206.141,57;10.462.506,06;13.128.491,86;13.185.176,76;15.092.645;19.383.514;20.425.097;8.117.196;38.270.874
Santa Fé de Goiás;Financiamentos à Pecuária - Custeio - Valor (R$);9.495.969,20;7364087,85;6.336.325,15;7.898.660,46;7.571.314,83;15.691.196,86;12.888.783;22.422.992;23.367.492;7.106.120;28.045.693
Santa Helena de Goiás;Financiamentos à Pecuária - Custeio - Valor (R$);30.098.797,33;34572314,01;48.785.556,29;34.893.689,04;25.907.258,37;45.528.083,85;62.875.627;76.361.190;99.335.474;41.602.040;25.813.299
Santa Isabel;Financiamentos à Pecuária - Custeio - Valor (R$);8.162.630,99;7806094,78;6.999.677,25;6.657.601,82;14.253.782,07;13.874.114,45;17.357.319;20.992.115;39.592.635;4.910.000;35.039.130
Santa Rita do Araguaia;Financiamentos à Pecuária - Custeio - Valor (R$);7.852.817,63;8301304,15;6.912.544,78;7.201.793,50;14.518.044,12;10.840.581,54;11.587.358;14.285.465;17.210.796;9.965.920;24.483.627
Santa Rita do Novo Destino;Financiamentos à Pecuária - Custeio - Valor (R$);7.202.226,79;9894593,64;9.391.095,64;9.927.855,55;10.219.952,20;10.583.327,79;16.060.465;15.181.372;25.492.227;5.766.983;24.257.962
Santa Rosa de Goiás;Financiamentos à Pecuária - Custeio - Valor (R$);1.719.349,57;2014024,6;2.635.280,46;3.217.633,13;2.692.149,60;1.352.289,08;1.513.190;3.805.033;5.575.861;1.297.773;7.180.393
Santa Tereza de Goiás;Financiamentos à Pecuária - Custeio - Valor (R$);3.248.887,55;4729986,8;7.273.146,19;7.316.815,68;9.910.180,15;10.010.338,05;13.204.826;23.936.154;27.017.113;11.856.725;14.272.763
Santa Terezinha de Goiás;Financiamentos à Pecuária - Custeio - Valor (R$);10.595.956,09;14099611,48;15.086.378,78;20.219.503,67;23.355.140,67;37.733.789,52;40.111.047;57.147.061;83.880.212;17.627.344;77.360.017
Santo Antônio da Barra;Financiamentos à Pecuária - Custeio - Valor (R$);7.763.770,35;7473910,41;5.362.251,21;4.399.505,37;3.849.692,18;7.117.478,05;5.115.803;9.284.292;2.945.276;2.973.290;9.672.832
Santo Antônio de Goiás;Financiamentos à Pecuária - Custeio - Valor (R$);955.056,88;2312187,81;2.530.715,05;2.944.612,84;5.106.331,84;4.736.024,87;2.541.508;3.735.436;6.071.822;0;3.665.234
Santo Antônio do Descoberto;Financiamentos à Pecuária - Custeio - Valor (R$);1.882.296,22;76327,66;264.170,07;530.642,55;255.690,39;155.953,71;239.779;1.022.504;1.826.961;243.000;3.242.054
São Domingos;Financiamentos à Pecuária - Custeio - Valor (R$);18.099.747,48;16576099,53;9.839.326,01;11.445.961,68;22.432.324,83;21.896.265,96;28.001.057;34.606.503;39.944.621;4.346.798;52.493.195
São Francisco de Goiás;Financiamentos à Pecuária - Custeio - Valor (R$);4.159.504,14;5298668,25;4.114.003,32;3.838.577,14;4.825.733,59;3.944.624,29;4.793.662;8.178.374;8.122.047;2.603.078;7.725.300
São João d'Aliança;Financiamentos à Pecuária - Custeio - Valor (R$);9.884.628,75;6118201,37;6.728.205,33;12.621.401,39;13.855.570,91;15.814.176,89;9.868.954;12.016.537;16.138.493;3.992.124;22.903.695
São João da Paraúna;Financiamentos à Pecuária - Custeio - Valor (R$);3.053.544,80;2560106,62;2.814.522,46;1.271.537,19;2.890.347,11;3.588.349,10;3.641.957;10.613.045;5.937.406;1.585.156;6.341.515
São Luis de Montes Belos;Financiamentos à Pecuária - Custeio - Valor (R$);12.758.862,42;14423140,64;13.086.593,49;19.967.088,99;20.528.834,34;20.381.809,56;34.750.639;42.240.892;67.261.947;18.630.404;71.088.639
São Luiz do Norte;Financiamentos à Pecuária - Custeio - Valor (R$);1.518.112,61;2338167,9;2.759.128,18;4.476.202,81;5.318.780,68;5.885.140,82;1.501.675;9.456.395;1.975.988;1.828.700;2.056.099
São Miguel do Araguaia;Financiamentos à Pecuária - Custeio - Valor (R$);61.259.082,69;65970930,65;59.109.206,05;64.965.603,35;77.669.488,42;74.461.143,79;98.153.921;167.094.043;138.717.629;49.364.603;153.204.911
São Miguel do Passa Quatro;Financiamentos à Pecuária - Custeio - Valor (R$);6.378.611,32;6695280,48;10.199.154,53;12.001.632,61;12.594.879,10;13.165.573,53;15.279.934;15.691.878;21.753.927;11.208.324;19.690.653
São Patrício;Financiamentos à Pecuária - Custeio - Valor (R$);3.524.350,87;3731379,3;4.406.093,01;5.590.697,00;3.209.491,39;4.303.257,13;6.270.689;6.798.114;7.919.177;983.000;7.448.741
São Simão;Financiamentos à Pecuária - Custeio - Valor (R$);4.726.296,50;5268268,58;3.787.603,80;4.304.493,40;4.307.508,37;6.233.017,72;6.535.648;6.078.542;8.970.729;4.516.286;12.023.188
Senador Canedo;Financiamentos à Pecuária - Custeio - Valor (R$);851.537,22;396845,04;232.923,89;565.237,85;981.996,34;487.336,21;433.786;1.472.903;522.960;450.000;762.140
Serranópolis;Financiamentos à Pecuária - Custeio - Valor (R$);41.761.779,38;47242271,11;37.855.514,25;52.374.410,27;46.797.624,39;45.528.485,38;60.526.027;69.154.929;77.891.066;22.191.540;89.205.876
Silvânia;Financiamentos à Pecuária - Custeio - Valor (R$);14.577.906,44;19855306,05;56.387.223,26;71.997.469,01;19.820.111,69;19.650.981,79;26.816.588;25.198.315;35.766.501;8.147.711;51.611.952
Simolândia;Financiamentos à Pecuária - Custeio - Valor (R$);1.804.805,88;1958697,42;2.807.508,64;3.944.480,61;5.425.415,15;3.899.388,42;6.000.203;9.378.036;11.645.278;7.236.835;27.589.396
Sítio d'Abadia;Financiamentos à Pecuária - Custeio - Valor (R$);4.847.042,92;3774566,76;2.240.177,43;3.367.536,41;6.241.913,19;9.785.152,32;13.018.776;23.398.730;22.550.734;10.808.628;26.532.844
Taquaral de Goiás;Financiamentos à Pecuária - Custeio - Valor (R$);2.217.934,70;2737577,29;6.046.136,99;2.566.381,41;3.282.095,63;2.756.834,21;4.643.174;4.185.845;7.524.265;7.403.000;8.071.080
Teresina de Goiás;Financiamentos à Pecuária - Custeio - Valor (R$);449.074,06;460299,78;134.618,41;427.410,07;27.952,36;235.823,92;447.106;88.571;-;0;698.983
Terezópolis de Goiás;Financiamentos à Pecuária - Custeio - Valor (R$);1.362.398,77;1097511,47;858.801,69;881.609,70;1.340.689,63;1.935.726,75;998.583;1.058.009;500.000;749.000;2.458.231
Três Ranchos;Financiamentos à Pecuária - Custeio - Valor (R$);1.002.407,42;1056260,36;1.342.797,92;1.380.597,99;1.572.321,18;2.363.778,74;3.039.339;5.026.840;4.128.061;600.000;4.628.826
Trindade;Financiamentos à Pecuária - Custeio - Valor (R$);7.541.091,33;7318366,32;6.120.462,37;7.757.403,32;10.621.748,99;10.739.321,82;8.251.030;6.934.318;12.991.593;1.895.200;17.851.043
Trombas;Financiamentos à Pecuária - Custeio - Valor (R$);4.042.654,83;5261795,44;6.403.925,14;7.437.306,89;4.940.757,89;7.480.648,80;14.529.936;27.171.525;27.708.980;16.077.427;33.749.483
Turvânia;Financiamentos à Pecuária - Custeio - Valor (R$);7.593.405,21;8321198,1;6.564.576,29;5.175.822,00;10.726.494,09;5.562.276,52;6.704.418;7.698.744;13.438.810;2.495.762;12.139.484
Turvelândia;Financiamentos à Pecuária - Custeio - Valor (R$);4.141.660,85;2619952,37;1.983.993,90;1.757.892,72;9.270.338,37;4.131.989,81;502.203;6.233.762;1.767.184;3.300.000;3.970.000
Uirapuru;Financiamentos à Pecuária - Custeio - Valor (R$);7.130.342,45;5537392,34;6.523.214,14;6.662.906,78;6.500.576,51;7.873.511,22;13.881.079;26.182.013;33.411.919;7.551.710;57.726.188
Uruaçu;Financiamentos à Pecuária - Custeio - Valor (R$);12.704.841,89;11600182,01;16.313.913,87;16.544.174,63;19.296.898,66;24.371.897,44;23.241.192;46.192.712;60.125.039;12.479.470;53.929.347
Uruana;Financiamentos à Pecuária - Custeio - Valor (R$);7.906.344,78;11817019,55;12.567.407,60;12.637.658,82;13.478.135,55;14.771.588,78;12.596.215;17.008.809;17.937.538;4.561.629;21.100.843
Urutaí;Financiamentos à Pecuária - Custeio - Valor (R$);2.565.488,47;2704179,54;3.932.127,26;4.449.265,72;3.842.752,70;6.017.320,17;4.819.386;11.492.672;8.669.702;2.571.598;12.552.934
Valparaíso de Goiás;Financiamentos à Pecuária - Custeio - Valor (R$);-;-;-;-; - ;0;-;-;-;-;-
Varjão;Financiamentos à Pecuária - Custeio - Valor (R$);3506261,86;3852021,39;8.312.253,27;9.184.283;11.032.039,98;9.437.616,94;11.671.091;10.338.413;23.035.933;9.707.600;28.012.674
Vianópolis;Financiamentos à Pecuária - Custeio - Valor (R$);9355451,55;12963762,82;13.994.333,05;16.144.082;17.207.682,88;17.047.118,92;19.104.332;26.534.619;43.030.581;8.827.875;40.617.903
Vicentinópolis;Financiamentos à Pecuária - Custeio - Valor (R$);4994404,05;7306736,14;14.474.966,13;13.629.306;7.231.331,73;5.135.019,17;5.913.418;6.922.190;7.807.999;1.000.000;3.895.262
Vila Boa;Financiamentos à Pecuária - Custeio - Valor (R$);4930327,41;5571330,3;3.085.272,95;3.763.808;3.867.737,17;5.645.314,24;6.757.090;11.578.430;6.332.726;500.000;13.403.336
Vila Propício;Financiamentos à Pecuária - Custeio - Valor (R$);9413757,86;12197321,13;13.937.851,20;15.098.799;17.499.792,35;16.534.576,26;18.899.694;30.594.365;24.282.151;7.189.584;31.826.422
